t,RD,RD_LCL,RD_UCL,RR,RR_LCL,RR_UCL
0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,4.7e-05,-0.000197,0.00029,1.32983,0.29766,5.941166
2.0,-0.000283,-0.000674,0.000108,0.498622,0.187173,1.328311
3.0,-0.000378,-0.000829,7.4e-05,0.498632,0.213444,1.164864
4.0,-0.000284,-0.000771,0.000204,0.64543,0.302393,1.377611
5.0,-0.000237,-0.000798,0.000323,0.76009,0.396749,1.456177
6.0,-9.6e-05,-0.000693,0.000501,0.907113,0.495224,1.661582
7.0,-0.000191,-0.000816,0.000434,0.838086,0.469309,1.496643
8.0,-0.000191,-0.000856,0.000474,0.855181,0.495924,1.47469
9.0,-0.000333,-0.001041,0.000375,0.785885,0.470215,1.313472
10.0,-0.000381,-0.001141,0.00038,0.787424,0.488066,1.270396
11.0,-0.000429,-0.001227,0.00037,0.783636,0.496907,1.235815
12.0,-0.000524,-0.001354,0.000307,0.758713,0.489021,1.177139
13.0,-0.000714,-0.001575,0.000147,0.703585,0.459415,1.077527
14.0,-0.000856,-0.001742,2.9e-05,0.670352,0.442081,1.016492
15.0,-0.000999,-0.001899,-9.9e-05,0.635448,0.420895,0.959372
16.0,-0.001333,-0.002267,-0.0004,0.566363,0.378432,0.84762
17.0,-0.001477,-0.002425,-0.00053,0.541045,0.362691,0.807106
18.0,-0.001429,-0.002381,-0.000477,0.555954,0.373966,0.826507
19.0,-0.001478,-0.002434,-0.000521,0.54773,0.368814,0.813439
20.0,-0.001575,-0.002541,-0.000608,0.531933,0.358889,0.788411
21.0,-0.001624,-0.002604,-0.000643,0.530971,0.360111,0.782897
22.0,-0.00177,-0.002764,-0.000776,0.509369,0.346388,0.749035
23.0,-0.001869,-0.002872,-0.000866,0.495814,0.337738,0.727877
24.0,-0.002118,-0.003144,-0.001091,0.464636,0.31773,0.679467
25.0,-0.002368,-0.003418,-0.001319,0.436938,0.299828,0.636749
26.0,-0.002419,-0.003473,-0.001365,0.431755,0.296464,0.628786
27.0,-0.002521,-0.003603,-0.001439,0.434784,0.30122,0.627572
28.0,-0.002727,-0.003827,-0.001627,0.415624,0.288615,0.598526
29.0,-0.003038,-0.004166,-0.00191,0.389663,0.271445,0.559367
30.0,-0.00309,-0.004223,-0.001957,0.385619,0.268761,0.553288
31.0,-0.003353,-0.004509,-0.002198,0.366455,0.256003,0.52456
32.0,-0.003459,-0.004633,-0.002285,0.365454,0.256432,0.520826
33.0,-0.003619,-0.004807,-0.002432,0.35502,0.249424,0.50532
34.0,-0.003942,-0.005157,-0.002727,0.335722,0.236419,0.476734
35.0,-0.00405,-0.005275,-0.002826,0.329704,0.232352,0.467846
36.0,-0.004214,-0.005452,-0.002976,0.321009,0.226463,0.455026
37.0,-0.004324,-0.005571,-0.003076,0.315438,0.222684,0.446825
38.0,-0.004434,-0.00569,-0.003177,0.310026,0.219008,0.438871
39.0,-0.004545,-0.00581,-0.003279,0.304776,0.215437,0.431162
40.0,-0.0046,-0.005871,-0.00333,0.302205,0.213686,0.427391
41.0,-0.004936,-0.006234,-0.003638,0.287572,0.203704,0.40597
42.0,-0.00516,-0.006477,-0.003844,0.278535,0.197522,0.392774
43.0,-0.005499,-0.006843,-0.004156,0.265935,0.188883,0.374419
44.0,-0.005613,-0.006965,-0.00426,0.261968,0.186158,0.368651
45.0,-0.006012,-0.007396,-0.004628,0.248915,0.177173,0.349706
46.0,-0.006069,-0.007466,-0.004671,0.252441,0.180308,0.35343
47.0,-0.006241,-0.007652,-0.00483,0.247194,0.176676,0.345857
48.0,-0.006357,-0.007776,-0.004937,0.243799,0.174324,0.340964
49.0,-0.006415,-0.007839,-0.00499,0.242128,0.173165,0.338556
50.0,-0.006822,-0.008278,-0.005367,0.231002,0.165438,0.32255
51.0,-0.006881,-0.008341,-0.005422,0.229474,0.164374,0.320355
52.0,-0.007181,-0.008664,-0.005698,0.222027,0.159186,0.309676
53.0,-0.007242,-0.008739,-0.005745,0.225628,0.162288,0.313688
54.0,-0.007427,-0.008939,-0.005916,0.221247,0.15922,0.307439
55.0,-0.007741,-0.009277,-0.006205,0.214203,0.154277,0.297407
56.0,-0.007932,-0.009483,-0.006381,0.210124,0.15141,0.291605
57.0,-0.008191,-0.009762,-0.00662,0.204841,0.147693,0.284102
58.0,-0.008322,-0.009903,-0.006741,0.202266,0.145879,0.280449
59.0,-0.008521,-0.010118,-0.006924,0.198475,0.143206,0.275076
60.0,-0.008723,-0.010337,-0.00711,0.194774,0.140593,0.269834
61.0,-0.00886,-0.010495,-0.007225,0.197305,0.142839,0.272539
62.0,-0.008999,-0.010667,-0.007332,0.204638,0.148951,0.281144
63.0,-0.009069,-0.010742,-0.007396,0.203377,0.148052,0.279376
64.0,-0.009354,-0.01105,-0.007658,0.198411,0.144508,0.272419
65.0,-0.009646,-0.011377,-0.007915,0.198418,0.144925,0.271656
66.0,-0.009868,-0.011617,-0.00812,0.194813,0.14234,0.26663
67.0,-0.009944,-0.011699,-0.008189,0.193618,0.141483,0.264964
68.0,-0.010331,-0.012118,-0.008544,0.187729,0.137252,0.256769
69.0,-0.010646,-0.012459,-0.008834,0.183183,0.133983,0.25045
70.0,-0.010727,-0.012547,-0.008907,0.182059,0.133174,0.248889
71.0,-0.010891,-0.012725,-0.009058,0.179803,0.131549,0.245758
72.0,-0.011146,-0.013002,-0.009291,0.176416,0.129106,0.241064
73.0,-0.011146,-0.013002,-0.009291,0.176416,0.129106,0.241064
74.0,-0.011508,-0.013397,-0.009619,0.171826,0.125786,0.234718
75.0,-0.011882,-0.013805,-0.009958,0.167328,0.12253,0.228506
76.0,-0.011882,-0.013805,-0.009958,0.167328,0.12253,0.228506
77.0,-0.011982,-0.013915,-0.010049,0.166159,0.12168,0.226895
78.0,-0.01219,-0.014144,-0.010236,0.163786,0.119956,0.223632
79.0,-0.012299,-0.014265,-0.010334,0.162567,0.119068,0.221959
80.0,-0.012414,-0.014393,-0.010436,0.161304,0.118145,0.220229
81.0,-0.012415,-0.014421,-0.010408,0.168101,0.122874,0.229976
82.0,-0.012543,-0.014565,-0.010521,0.166665,0.121822,0.228014
83.0,-0.01268,-0.01472,-0.010641,0.165161,0.120719,0.225966
84.0,-0.012827,-0.014886,-0.010768,0.163584,0.119557,0.223825
85.0,-0.012983,-0.015065,-0.010902,0.161932,0.118337,0.221589
86.0,-0.013487,-0.015644,-0.011329,0.156836,0.114563,0.214706
87.0,-0.013487,-0.015644,-0.011329,0.156836,0.114563,0.214706
88.0,-0.013878,-0.016102,-0.011655,0.153086,0.111767,0.20968
89.0,-0.014308,-0.016609,-0.012007,0.149177,0.108843,0.204458
90.0,-0.014308,-0.016609,-0.012007,0.149177,0.108843,0.204458
91.0,-0.014838,-0.017252,-0.012423,0.14462,0.105391,0.198451
92.0,-0.015731,-0.018346,-0.013116,0.137539,0.100018,0.189136
93.0,-0.015731,-0.018346,-0.013116,0.137539,0.100018,0.189136
94.0,-0.015731,-0.018346,-0.013116,0.137539,0.100018,0.189136
95.0,-0.016125,-0.018851,-0.013399,0.134629,0.097762,0.185398
96.0,-0.016125,-0.018851,-0.013399,0.134629,0.097762,0.185398
97.0,-0.016627,-0.019524,-0.01373,0.131099,0.094964,0.180984
98.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
99.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
100.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
101.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
102.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
103.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
104.0,-0.017221,-0.020716,-0.013726,0.151632,0.095738,0.240159
105.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
106.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
107.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
108.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
109.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
110.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
111.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
112.0,-0.018999,-0.023928,-0.01407,0.13942,0.086098,0.225766
